abv,ibu,identification,name,style
0.05,0,1436,Pub Beer,American Pale Lager
0.066,0,2265,Devil s Cup,American Pale Ale (APA)
0.071,0,2264,Rise of the Phoenix,American IPA
0.09,0,2263,Sinister,American Double  Imperial IPA
0.075,0,2262,Sex and Candy,American IPA
0.077,0,2261,Black Exodus,Oatmeal Stout
0.045,0,2260,Lake Street Express,American Pale Ale (APA)
0.065,0,2259,Foreman,American Porter
0.055,0,2258,Jade,American Pale Ale (APA)
0.086,0,2131,Cone Crusher,American Double  Imperial IPA
0.072,0,2099,Sophomoric Saison,Saison  Farmhouse Ale
0.073,0,2098,Regional Ring Of Fire,Saison  Farmhouse Ale
0.069,0,2097,Garce Selé,Saison  Farmhouse Ale
0.085,0,1980,Troll Destroyer,Belgian IPA
0.061,60,1979,Bitter Bitch,American Pale Ale (APA)
0.06,0,2318,Ginja Ninja,Cider
0.06,0,2170,Cherried Away,Cider
0.06,0,2169,Rhubarbarian,Cider
0.06,0,1502,BrightCider,Cider
0.082,0,1593,He Said Baltic-Style Porter,Baltic Porter
0.082,0,1592,He Said Belgian-Style Tripel,Tripel
0.099,92,1036,Lower De Boom,American Barleywine
0.079,45,1024,Fireside Chat,Winter Warmer
0.079,0,976,Marooned On Hog Island,American Stout
0.044,42,876,Bitter American,American Pale Ale (APA)
0.049,17,802,Hell or High Watermelon Wheat (2009),Fruit  Vegetable Beer
0.049,17,801,Hell or High Watermelon Wheat (2009),Fruit  Vegetable Beer
0.049,17,800,21st Amendment Watermelon Wheat Beer (2006),Fruit  Vegetable Beer
0.07,70,799,21st Amendment IPA (2006),American IPA
0.07,70,797,Brew Free or Die IPA (2008),American IPA
0.07,70,796,Brew Free or Die IPA (2009),American IPA
0.085,52,531,Special Edition: Allies Win The War,English Strong Ale
0.097,94,432,Hop Crisis,American Double  Imperial IPA
0.044,42,353,Bitter American (2011),American Pale Ale (APA)
